,channel,watch_time,stream_time,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language
0,xQcOW,,,,,,,,True,False,Sw3d1zh
1,summit1g,7125017173.0,244573.0,353305.0,28880.0,5834762.0,1698665.0,109434988.0,True,False,English
2,Gaules,5868750620.0,657091.0,440240.0,9479.0,1380315.0,851032.0,124221378.0,True,True,Portuguese
3,ESL_CSGO,4285855128.0,629643.0,319317.0,4799.0,3564240.0,764726.0,111545922.0,True,False,English
4,Tfue,4177579275.0,134845.0,298024.0,33786.0,8256808.0,2003184.0,90559539.0,True,False,English
5,Asmongold,4049005176.0,86632.0,234294.0,40545.0,1473459.0,647472.0,69322369.0,True,False,English
6,NICKMERCS,3997694200.0,177368.0,135966.0,30800.0,4896151.0,976287.0,47377579.0,True,False,English
7,Fextralife,,,,,,,,True,False,English
8,loltyler1,3654993184.0,130612.0,121844.0,13851.0,3117924.0,864096.0,64328355.0,True,False,English
9,Anomaly,2891198003.0,94123.0,164115.0,11679.0,3198330.0,1705230.0,39922892.0,True,False,English
10,TimTheTatman,3661100935.0,110933.0,139950.0,22450.0,4333706.0,1065215.0,51964392.0,True,True,English
11,LIRIK,3477167858.0,130836.0,78093.0,18535.0,2729600.0,197936.0,52887508.0,True,False,English
12,Riot Games (riotgames),3402007075.0,107701.0,632415.0,20264.0,2763026.0,563878.0,67639369.0,True,False,English
13,Rubius,2905986915.0,67693.0,271626.0,40902.0,6624984.0,4401064.0,68419713.0,True,False,Spanish
14,auronplay,2785029612.0,46669.0,195057.0,58232.0,3515137.0,3411569.0,43250073.0,True,False,Spanish
15,MontanaBlack88,2579679602.0,68008.0,174944.0,35578.0,2332464.0,1302105.0,42405381.0,True,True,German
16,sodapoppin,2450619901.0,123526.0,98164.0,14144.0,2747086.0,243573.0,41447208.0,True,True,English
17,풍월량 (hanryang1125),2448870452.0,197283.0,23542.0,13458.0,488944.0,83853.0,39028229.0,True,False,Korean
18,alanzoka,2241967374.0,122722.0,75733.0,12851.0,3636820.0,1047772.0,48839995.0,True,False,Portuguese
19,CohhCarnage,2202197218.0,234875.0,49009.0,12535.0,1300895.0,118133.0,42946270.0,True,False,English
20,Lord_Kebun,2060153115.0,177480.0,49353.0,8984.0,529196.0,160375.0,22984731.0,True,False,English
21,LCK_Korea,2283509341.0,53659.0,134060.0,48390.0,595529.0,248204.0,76863094.0,True,False,Korean
22,Castro_1021,,,,,,,,True,False,English
23,DrDisrespect,,,,,,,,True,False,English
24,TheRealKnossi,2358184872.0,72238.0,204651.0,25111.0,1366559.0,993244.0,27176126.0,True,True,German
25,TheGrefg,1977104824.0,59917.0,575081.0,28726.0,3626767.0,3720177.0,54385417.0,True,False,Spanish
26,YoDa,1737652220.0,154048.0,124663.0,12353.0,1534997.0,295181.0,38830603.0,True,False,Portuguese
27,Pestily,1758402379.0,162785.0,168410.0,8131.0,726513.0,512474.0,28271354.0,True,False,English
28,한동숙 (handongsuk),1631172806.0,142511.0,40717.0,11900.0,414208.0,64479.0,36510969.0,True,False,Korean
29,GamesDoneQuick,1790575225.0,98223.0,260178.0,7584.0,1653025.0,89586.0,44156387.0,True,False,English
30,Solary,1674927020.0,525097.0,23472.0,3162.0,460499.0,160966.0,54395135.0,True,False,French
31,Gotaga,2128574843.0,146409.0,70955.0,11021.0,2346909.0,736115.0,44123729.0,True,False,French
32,MOONMOON,1595117191.0,149198.0,25367.0,14903.0,626634.0,100405.0,16264445.0,True,True,English
33,DrLupo,1622742218.0,183410.0,86190.0,9311.0,4122223.0,478423.0,49293905.0,True,False,English
34,OgamingLoL,1599749104.0,544055.0,184713.0,3260.0,550815.0,129646.0,85030355.0,True,False,French
35,Myth,1622499005.0,141946.0,122219.0,8337.0,7774508.0,1215326.0,44381310.0,True,False,English
36,Evelone192,1636083820.0,87495.0,95533.0,14035.0,1281364.0,739219.0,51575657.0,True,False,Russian
37,nl_Kripp,1942372740.0,164532.0,34909.0,8013.0,1593884.0,98112.0,26077740.0,True,False,English
38,LEC,1553666058.0,55784.0,313825.0,32310.0,769689.0,595246.0,28643656.0,True,False,English
39,dota2mc_ru,1796467037.0,68556.0,216724.0,16634.0,433396.0,121576.0,39443405.0,True,False,Russian
40,Fresh,1532791627.0,154401.0,67043.0,10750.0,3533292.0,1948355.0,26658345.0,True,False,English
41,LCS,1470331901.0,38932.0,221099.0,44233.0,1318714.0,483608.0,30850270.0,True,False,English
42,ROSHTEIN,1592101456.0,127684.0,39926.0,11533.0,301669.0,216099.0,18648741.0,False,True,English
43,ibai,1454992591.0,60747.0,129726.0,28166.0,1926568.0,1656065.0,48521876.0,True,False,Spanish
44,TFBlade,1752964262.0,142328.0,42870.0,9205.0,887104.0,481675.0,38800421.0,True,False,English
45,Sardoche,1384278362.0,177199.0,119521.0,9312.0,796812.0,341452.0,32895854.0,True,True,French
46,LCK,1393824389.0,39195.0,159709.0,39335.0,838132.0,378524.0,39256688.0,True,False,English
47,Yassuo,1377115975.0,114086.0,68270.0,7418.0,2164080.0,686609.0,39327827.0,True,False,English
48,HasanAbi,1464471769.0,267146.0,42030.0,7596.0,529685.0,379488.0,16303214.0,True,False,English
49,BeyondTheSummit,,,,,,,,True,False,English
50,Dota2RuHub,1411953116.0,108051.0,107230.0,11764.0,809929.0,99281.0,47914842.0,True,False,Russian
51,Bugha,1463036833.0,109423.0,66622.0,11943.0,3328158.0,2013876.0,49745208.0,True,False,English
52,RocketLeague,1325711066.0,35858.0,163607.0,42574.0,1520296.0,393191.0,65689799.0,True,False,English
53,csgomc_ru,1324864436.0,78823.0,300131.0,16299.0,448749.0,529109.0,49533591.0,True,False,Russian
54,Clix,1315743474.0,111610.0,81845.0,14126.0,2287967.0,1605086.0,39126018.0,True,False,English
55,Gorgc,1314638379.0,163881.0,44582.0,7856.0,319448.0,124370.0,21940131.0,True,True,English
56,서새봄냥 (saddummy),1267659354.0,218712.0,30334.0,6459.0,641684.0,75010.0,32163558.0,True,False,Korean
57,NoWay4u_Sir,1331122512.0,160314.0,27314.0,9742.0,395882.0,124035.0,23938096.0,True,False,German
58,RiotGamesBrazil,1300260389.0,39800.0,275300.0,27779.0,934700.0,321608.0,38609475.0,True,False,Portuguese
59,JLTomy,1292172634.0,121778.0,44144.0,11908.0,378035.0,330529.0,16930642.0,True,False,French
60,SolaryFortnite,,,,,,,,True,False,French
61,ONSCREEN,,,,,,,,True,False,English
62,AdmiralBahroo,1190731569.0,156361.0,18132.0,8917.0,928894.0,99549.0,13088661.0,True,False,English
63,Quin69,1386380152.0,190387.0,39289.0,8394.0,402081.0,80479.0,22394229.0,True,True,English
64,Trymacs,,,,,,,,True,False,German
65,dasMEHDI,1218797629.0,307336.0,50385.0,4666.0,300949.0,65006.0,8750229.0,True,True,English
